V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Jun-16,COOERAB,Cooeperatieve Rabobank UA,NP489I,SUBLT2,EUR,MM14,Composite,0.0092,0.0106,0.0126,0.0145,0.0162,0.0178,0.02,0.0213,0.0223,0.0223,0.0221,20%,BB,BB,BB,BB,BB,BB,BB,BB,B,B,B,BB,5,Financials,Europe,Netherlands,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,COSTAR,Rep Costa Rica,2E36EG,SNRFOR,USD,CR14,Composite,0.028,0.0334,0.036,0.0383,0.0404,0.0423,0.0445,0.0444,0.0445,0.0448,0.0452,24.40%,B,B,B,B,B,B,NR,NR,NR,NR,NR,B,3,Government,Lat.Amer,Costa Rica,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Thin,Thin,Entity Tier
30-Jun-16,CROATI,Rep Croatia,248DEC,SNRFOR,USD,CR14,Composite,0.0033,0.0068,0.0112,0.0163,0.0204,0.0237,0.0266,0.0284,0.0292,0.0299,0.0304,25%,NR,B,BBB,BBB,A,A,BBB,BBB,NR,B,B,BBB,3,Government,E.Eur,Croatia,,BB,Thin,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CSGAG,Credit Suisse Gp AG,HK9FHL,SNRFOR,EUR,MM14,Composite,0.0114,0.0122,0.0134,0.0143,0.0155,0.0165,0.0182,0.0194,0.0203,0.0202,0.0207,40%,BB,BB,BB,A,A,A,A,BBB,B,B,NR,BBB,5,Financials,Europe,Switzerland,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Entity Tier
30-Jun-16,CSGAG,Credit Suisse Gp AG,HK9FHL,SUBLT2,EUR,MM14,Composite,0.0142,0.0164,0.0181,0.0195,0.0209,0.0221,0.0241,0.0253,0.0267,0.0267,0.0261,20%,BB,BB,BB,BB,BB,BB,BB,BB,NR,NR,B,BB,6,Financials,Europe,Switzerland,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,CcyGrp,Entity Tier
30-Jun-16,CYPRUS,Rep Cyprus,MUA36B,SNRFOR,USD,CR14,Composite,0.0174,0.02,0.0238,0.0265,0.028,0.031,0.0305,0.0314,,,,40%,NR,NR,NR,NR,NR,NR,NR,NR,,,,NR,2,Government,Europe,Cyprus,,B,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,,,,Thin
30-Jun-16,CZECH,Czech Rep,255AD5,SNRFOR,USD,CR14,Composite,0.0007,0.001,0.0013,0.0021,0.0031,0.0041,0.0056,0.0066,0.0072,0.0075,0.0078,25%,A,A,A,BBB,BBB,B,NR,NR,NR,NR,NR,BBB,3,Government,E.Eur,Czech Republic,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Thin,Thin,Entity Tier
30-Jun-16,DAIWA,Daiwa Secs Gp Inc,2F746C,SNRFOR,JPY,CR14,Composite,0.002,0.0021,0.0032,0.0043,0.0057,0.0072,0.0087,0.0098,,,,35%,BB,BBB,BB,BB,B,B,NR,NR,,,,BB,3,Financials,Asia,Japan,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,,,,Entity Tier
30-Jun-16,DANBNK,Danske Bk A S,2F9999,SNRFOR,EUR,MM14,Composite,0.0029,0.0034,0.0045,0.0056,0.0069,0.0082,0.0099,0.0111,0.0112,0.0113,0.0114,40%,A,A,A,A,A,A,A,A,BBB,BBB,BBB,A,7,Financials,Europe,Denmark,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,DANBNK,Danske Bk A S,2F9999,SUBLT2,EUR,MM14,Composite,0.0063,0.0067,0.0092,0.0117,0.0136,0.0155,0.0173,0.0186,0.0194,0.0199,0.0203,20%,BB,BB,BB,BB,BB,BB,B,B,NR,NR,NR,BB,5,Financials,Europe,Denmark,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Entity Tier
