V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Dec-16,CBA,Comwlth Bk Aust,2C2983,SNRFOR,USD,MR14,Composite,0.0011,0.0013,0.0026,0.0038,0.0055,0.007,0.0092,0.0104,0.0107,0.0108,0.0109,40.45%,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA,NR,NR,NR,AAA,11,Financials,Oceania,Australia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,CBA,Comwlth Bk Aust,2C2983,SUBLT2,USD,MR14,Composite,0.0022,0.0026,0.0051,0.0075,0.0106,0.0133,0.0166,0.0185,0.0203,0.0206,0.0209,20.45%,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA,NR,NR,NR,AAA,11,Financials,Oceania,Australia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,CCBC,China Constr Bk Corp,YZ4CGW,SNRFOR,USD,CR14,Composite,0.0039,0.0043,0.0066,0.0092,0.012,0.0149,0.0177,0.0195,0.0197,0.0213,0.0202,39.80%,BBB,A,A,A,A,A,A,A,A,BBB,BBB,A,5,Government,Asia,China,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,CCBC,China Constr Bk Corp,YZ4CGW,SUBLT2,USD,CR14,Composite,0.0049,0.0054,0.0082,0.0115,0.0149,0.0186,0.0221,0.0244,0.0246,0.0267,0.0253,19.80%,BBB,A,A,A,A,A,A,A,A,BBB,BBB,A,5,Government,Asia,China,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,CCBP-NATIXI,Natixis,FLACBO,SNRFOR,EUR,MM14,Composite,0.0014,0.0021,0.0033,0.0047,0.0061,0.0074,0.0097,0.011,0.0116,0.0119,0.0121,40%,BB,B,BB,BB,BB,BB,B,B,B,B,B,BB,4,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,CCBP-NATIXI,Natixis,FLACBO,SUBLT2,EUR,MM14,Composite,0.0075,0.0099,0.0118,0.0135,0.0156,0.0173,0.0197,0.0203,0.0208,0.0209,0.021,20%,BB,B,BB,BB,BB,BB,B,B,B,B,B,BB,4,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,CHILE,Rep of Chile,17EGE9,SNRFOR,USD,CR14,Composite,0.0022,0.0028,0.0039,0.0051,0.0067,0.0083,0.011,0.0127,0.0131,0.0132,0.0134,25%,AA,A,AA,AA,AA,AA,AA,AA,A,A,A,AA,8,Government,Lat.Amer,Chile,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,CHINA,Peoples Rep China,7I343A,SNRFOR,USD,CR14,Composite,0.00256194,0.00273252,0.00502424,0.00713268,0.00946848,0.01165468,0.01457746,0.01644443,0.01663935,0.01663577,0.01661303,40%,A,A,A,A,A,A,A,A,NR,NR,NR,A,3,Government,Asia,China,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,CHINA-HongKong,Hong Kong Spl Admin Region,YB764X,SNRFOR,USD,CR14,Composite,0.0005,0.0006,0.0013,0.002,0.0027,0.0035,0.0046,0.0057,0.0062,0.0063,0.0063,39.50%,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,4,Government,Asia,Hong Kong,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,CM,Cdn Imperial Bk Comm,1E966F,SNRFOR,USD,XR14,Composite,0.0032,0.0032,0.0036,0.0042,0.0048,0.0052,0.0055,0.0058,0.006,0.0063,0.0063,40%,B,CCC,B,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,3,Financials,N.Amer,Canada,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
